
Discriminative Training of RAT-SPNs on fashion-mnist

python train_rat_spn.py --store_best_valid_loss --store_best_valid_acc --num_epochs 150 --timeout_seconds 42899.999953746796 --split_depth 1 --data_path data/fashion-mnist/ --data_set fashion_mnist --result_path results/fashion-mnist/ --num_input_distributions 5 --num_recursive_splits 18 --num_sums 20 --dropout_rate_input 0.5 --dropout_rate_sums 0.5 --result_path quick_results/ratspn/mnist/split_depth_1__num_input_distributions_5__num_recursive_splits_18__num_sums_20__dropout_rate_input_0.5__dropout_rate_sums_0.5
2021-11-29 14:28:41.421187: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2021-11-29 14:28:41.421263: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
WARNING:tensorflow:From /home/spawar/anaconda3/lib/python3.8/site-packages/tensorflow/python/compat/v2_compat.py:101: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
WARNING:tensorflow:From /home/spawar/Desktop/RAT_SPN/models/RatSpn.py:220: calling TruncatedNormal.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
2021-11-29 14:28:49.255181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2021-11-29 14:28:49.255254: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2021-11-29 14:28:49.255290: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (makalu.cs.uga.edu): /proc/driver/nvidia/version does not exist
2021-11-29 14:28:49.255947: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
GPU_fraction: 1.0
batch_size: 100
data_path: data/fashion-mnist/
data_set: fashion_mnist
discrete_leaves: False
dropout_rate_input: 0.5
dropout_rate_sums: 0.5
gauss_isotropic: True
gauss_max_var: 1.0
gauss_min_var: 1.0
kappa_discriminative: 1.0
lambda_discriminative: 1.0
learning_rate_decay: 0.97
low_variance_threshold: 0.001
model_description_file: None
model_init_file: None
no_save: False
normalization: zmuv
normalized_sums: True
num_epochs: 150
num_input_distributions: 5
num_recursive_splits: 18
num_states: 2
num_sums: 20
optimizer: adam
provided_learning_rate: 0.001
result_path: quick_results/ratspn/mnist/split_depth_1__num_input_distributions_5__num_recursive_splits_18__num_sums_20__dropout_rate_input_0.5__dropout_rate_sums_0.5
split_depth: 1
store_best_valid_acc: True
store_best_valid_loss: True
store_model_every_epochs: 5
store_model_max: 1
timeout_safety_seconds: 0.0
timeout_seconds: 42899.999953746796
zmuv_min_sigma: 0.001

Layer: Gaussian
   Num Tensors: 36
   Num Nodes:   180
Layer: product
   Num Tensors: 18
   Num Nodes:   450
Layer: sum
   Num Tensors: 1
   Num Nodes:   10

num params: 5401
start training
epoch: 0[1, 0.00100]   CE: 2.30180   nll: 0.62943   negmargin: 0.00393   loss: 2.30180   time: 1.85481
epoch: 0[11, 0.00100]   CE: 2.30091   nll: 0.57958   negmargin: 0.00329   loss: 2.30091   time: 1.91284
epoch: 0[21, 0.00100]   CE: 2.29974   nll: 0.58174   negmargin: 0.00218   loss: 2.29974   time: 1.96677
epoch: 0[31, 0.00100]   CE: 2.30019   nll: 0.58148   negmargin: 0.00396   loss: 2.30019   time: 2.02256
epoch: 0[41, 0.00100]   CE: 2.29837   nll: 0.58661   negmargin: 0.00328   loss: 2.29837   time: 2.07474
epoch: 0[51, 0.00100]   CE: 2.29587   nll: 0.58209   negmargin: 0.00244   loss: 2.29587   time: 2.13032
epoch: 0[61, 0.00100]   CE: 2.29587   nll: 0.55356   negmargin: 0.00308   loss: 2.29587   time: 2.18309
epoch: 0[71, 0.00100]   CE: 2.29352   nll: 0.59755   negmargin: 0.00342   loss: 2.29352   time: 2.23642
epoch: 0[81, 0.00100]   CE: 2.29104   nll: 0.57392   negmargin: 0.00280   loss: 2.29104   time: 2.28901
epoch: 0[91, 0.00100]   CE: 2.28980   nll: 0.56225   negmargin: 0.00376   loss: 2.28980   time: 2.34384
epoch: 0[101, 0.00100]   CE: 2.28862   nll: 0.59132   negmargin: 0.00603   loss: 2.28862   time: 2.39363
epoch: 0[111, 0.00100]   CE: 2.28641   nll: 0.58007   negmargin: 0.00618   loss: 2.28641   time: 2.44353
epoch: 0[121, 0.00100]   CE: 2.28133   nll: 0.60745   negmargin: 0.00615   loss: 2.28133   time: 2.49399
epoch: 0[131, 0.00100]   CE: 2.28114   nll: 0.55938   negmargin: 0.00745   loss: 2.28114   time: 2.54341
epoch: 0[141, 0.00100]   CE: 2.27919   nll: 0.58001   negmargin: 0.00819   loss: 2.27919   time: 2.59374
epoch: 0[151, 0.00100]   CE: 2.26916   nll: 0.61579   negmargin: 0.00833   loss: 2.26916   time: 2.64524
epoch: 0[161, 0.00100]   CE: 2.27472   nll: 0.56773   negmargin: 0.00917   loss: 2.27472   time: 2.69393
epoch: 0[171, 0.00100]   CE: 2.26683   nll: 0.55568   negmargin: 0.00794   loss: 2.26683   time: 2.74340
epoch: 0[181, 0.00100]   CE: 2.25923   nll: 0.56821   negmargin: 0.01163   loss: 2.25923   time: 2.79334
epoch: 0[191, 0.00100]   CE: 2.25664   nll: 0.57234   negmargin: 0.01186   loss: 2.25664   time: 2.84431
epoch: 0[201, 0.00100]   CE: 2.25392   nll: 0.57321   negmargin: 0.00961   loss: 2.25392   time: 2.89615
epoch: 0[211, 0.00100]   CE: 2.23291   nll: 0.59877   negmargin: 0.01051   loss: 2.23291   time: 2.94796
epoch: 0[221, 0.00100]   CE: 2.23726   nll: 0.62388   negmargin: 0.02082   loss: 2.23726   time: 3.00042
epoch: 0[231, 0.00100]   CE: 2.23808   nll: 0.57034   negmargin: 0.01373   loss: 2.23808   time: 3.05218
epoch: 0[241, 0.00100]   CE: 2.22875   nll: 0.57019   negmargin: 0.01837   loss: 2.22875   time: 3.10303
epoch: 0[251, 0.00100]   CE: 2.22250   nll: 0.58353   negmargin: 0.01795   loss: 2.22250   time: 3.15322
epoch: 0[261, 0.00100]   CE: 2.20870   nll: 0.58015   negmargin: 0.01331   loss: 2.20870   time: 3.20267
epoch: 0[271, 0.00100]   CE: 2.21831   nll: 0.58357   negmargin: 0.01674   loss: 2.21831   time: 3.25282
epoch: 0[281, 0.00100]   CE: 2.20572   nll: 0.55518   negmargin: 0.01890   loss: 2.20572   time: 3.30295
