
Discriminative Training of RAT-SPNs on fashion-mnist

python train_rat_spn.py --store_best_valid_loss --store_best_valid_acc --num_epochs 15 --timeout_seconds 42899.99992585182 --split_depth 1 --data_path data/fashion-mnist/ --data_set fashion_mnist --result_path results/fashion-mnist/ --num_input_distributions 5 --num_recursive_splits 5 --num_sums 10 --dropout_rate_input 0.5 --dropout_rate_sums 0.5 --result_path quick_results/ratspn/mnist/split_depth_1__num_input_distributions_5__num_recursive_splits_5__num_sums_10__dropout_rate_input_0.5__dropout_rate_sums_0.5
2021-11-27 21:03:22.357909: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2021-11-27 21:03:22.357965: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
WARNING:tensorflow:From /home/spawar/anaconda3/lib/python3.8/site-packages/tensorflow/python/compat/v2_compat.py:101: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
WARNING:tensorflow:From /home/spawar/Desktop/RAT_SPN/models/RatSpn.py:220: calling TruncatedNormal.__init__ (from tensorflow.python.ops.init_ops) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Call initializer instance with the dtype argument instead of passing it to the constructor
2021-11-27 21:03:27.448500: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2021-11-27 21:03:27.448547: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2021-11-27 21:03:27.448577: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (makalu.cs.uga.edu): /proc/driver/nvidia/version does not exist
2021-11-27 21:03:27.449072: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
GPU_fraction: 1.0
batch_size: 100
data_path: data/fashion-mnist/
data_set: fashion_mnist
discrete_leaves: False
dropout_rate_input: 0.5
dropout_rate_sums: 0.5
gauss_isotropic: True
gauss_max_var: 1.0
gauss_min_var: 1.0
kappa_discriminative: 1.0
lambda_discriminative: 1.0
learning_rate_decay: 0.97
low_variance_threshold: 0.001
model_description_file: None
model_init_file: None
no_save: False
normalization: zmuv
normalized_sums: True
num_epochs: 15
num_input_distributions: 5
num_recursive_splits: 5
num_states: 2
num_sums: 10
optimizer: adam
provided_learning_rate: 0.001
result_path: quick_results/ratspn/mnist/split_depth_1__num_input_distributions_5__num_recursive_splits_5__num_sums_10__dropout_rate_input_0.5__dropout_rate_sums_0.5
split_depth: 1
store_best_valid_acc: True
store_best_valid_loss: True
store_model_every_epochs: 5
store_model_max: 1
timeout_safety_seconds: 0.0
timeout_seconds: 42899.99992585182
zmuv_min_sigma: 0.001

Layer: Gaussian
   Num Tensors: 10
   Num Nodes:   50
Layer: product
   Num Tensors: 5
   Num Nodes:   125
Layer: sum
   Num Tensors: 1
   Num Nodes:   10

num params: 20626
start training
epoch: 0[1, 0.00100]   CE: 2.31286   nll: 0.68520   negmargin: 0.14138   loss: 2.31286   time: 0.55285
epoch: 0[11, 0.00100]   CE: 2.20438   nll: 0.72336   negmargin: 0.07133   loss: 2.20438   time: 0.74506
epoch: 0[21, 0.00100]   CE: 2.14383   nll: 0.72893   negmargin: 0.03564   loss: 2.14383   time: 0.93958
epoch: 0[31, 0.00100]   CE: 2.06017   nll: 0.70640   negmargin: -0.01001   loss: 2.06017   time: 1.12984
epoch: 0[41, 0.00100]   CE: 2.08376   nll: 0.69976   negmargin: 0.10359   loss: 2.08376   time: 1.31886
epoch: 0[51, 0.00100]   CE: 1.93597   nll: 0.71980   negmargin: -0.02046   loss: 1.93597   time: 1.51270
epoch: 0[61, 0.00100]   CE: 1.88418   nll: 0.68879   negmargin: -0.04306   loss: 1.88418   time: 1.70520
epoch: 0[71, 0.00100]   CE: 1.89418   nll: 0.69598   negmargin: -0.03608   loss: 1.89418   time: 1.89760
epoch: 0[81, 0.00100]   CE: 1.72463   nll: 0.71007   negmargin: -0.18023   loss: 1.72463   time: 2.09024
epoch: 0[91, 0.00100]   CE: 1.72469   nll: 0.74853   negmargin: -0.16627   loss: 1.72469   time: 2.28039
epoch: 0[101, 0.00100]   CE: 1.75487   nll: 0.66545   negmargin: -0.13839   loss: 1.75487   time: 2.47087
epoch: 0[111, 0.00100]   CE: 1.71793   nll: 0.69702   negmargin: -0.16117   loss: 1.71793   time: 2.66130
epoch: 0[121, 0.00100]   CE: 1.61350   nll: 0.73101   negmargin: -0.26929   loss: 1.61350   time: 2.84926
epoch: 0[131, 0.00100]   CE: 1.70998   nll: 0.66482   negmargin: -0.10041   loss: 1.70998   time: 3.03870
epoch: 0[141, 0.00100]   CE: 1.62734   nll: 0.72738   negmargin: -0.22048   loss: 1.62734   time: 3.23225
epoch: 0[151, 0.00100]   CE: 1.67111   nll: 0.70854   negmargin: -0.12052   loss: 1.67111   time: 3.42187
epoch: 0[161, 0.00100]   CE: 1.54441   nll: 0.71142   negmargin: -0.29083   loss: 1.54441   time: 3.61194
epoch: 0[171, 0.00100]   CE: 1.55059   nll: 0.67292   negmargin: -0.28673   loss: 1.55059   time: 3.80276
epoch: 0[181, 0.00100]   CE: 1.58512   nll: 0.69490   negmargin: -0.21650   loss: 1.58512   time: 3.99173
epoch: 0[191, 0.00100]   CE: 1.48896   nll: 0.69306   negmargin: -0.32804   loss: 1.48896   time: 4.18032
epoch: 0[201, 0.00100]   CE: 1.53143   nll: 0.70778   negmargin: -0.23198   loss: 1.53143   time: 4.36997
epoch: 0[211, 0.00100]   CE: 1.47398   nll: 0.67678   negmargin: -0.34657   loss: 1.47398   time: 4.56249
epoch: 0[221, 0.00100]   CE: 1.48233   nll: 0.70004   negmargin: -0.31189   loss: 1.48233   time: 4.75525
epoch: 0[231, 0.00100]   CE: 1.51700   nll: 0.69434   negmargin: -0.24928   loss: 1.51700   time: 4.94707
epoch: 0[241, 0.00100]   CE: 1.48290   nll: 0.72161   negmargin: -0.32018   loss: 1.48290   time: 5.13840
epoch: 0[251, 0.00100]   CE: 1.44105   nll: 0.69500   negmargin: -0.37880   loss: 1.44105   time: 5.32805
epoch: 0[261, 0.00100]   CE: 1.44747   nll: 0.69574   negmargin: -0.27964   loss: 1.44747   time: 5.52056
epoch: 0[271, 0.00100]   CE: 1.46556   nll: 0.73380   negmargin: -0.28159   loss: 1.46556   time: 5.71113
epoch: 0[281, 0.00100]   CE: 1.39144   nll: 0.69584   negmargin: -0.39293   loss: 1.39144   time: 5.90475
epoch: 0[291, 0.00100]   CE: 1.35074   nll: 0.67917   negmargin: -0.41047   loss: 1.35074   time: 6.09706
epoch: 0[301, 0.00100]   CE: 1.40911   nll: 0.70351   negmargin: -0.34229   loss: 1.40911   time: 6.28774
epoch: 0[311, 0.00100]   CE: 1.35843   nll: 0.68277   negmargin: -0.37114   loss: 1.35843   time: 6.50330
epoch: 0[321, 0.00100]   CE: 1.39203   nll: 0.71236   negmargin: -0.31567   loss: 1.39203   time: 6.69890
epoch: 0[331, 0.00100]   CE: 1.32023   nll: 0.67884   negmargin: -0.39962   loss: 1.32023   time: 6.89427
epoch: 0[341, 0.00100]   CE: 1.42129   nll: 0.69040   negmargin: -0.26816   loss: 1.42129   time: 7.08521
epoch: 0[351, 0.00100]   CE: 1.38027   nll: 0.74309   negmargin: -0.30169   loss: 1.38027   time: 7.27870
epoch: 0[361, 0.00100]   CE: 1.38155   nll: 0.71131   negmargin: -0.29236   loss: 1.38155   time: 7.47228
epoch: 0[371, 0.00100]   CE: 1.34042   nll: 0.70549   negmargin: -0.34382   loss: 1.34042   time: 7.66567
epoch: 0[381, 0.00100]   CE: 1.27189   nll: 0.68056   negmargin: -0.47894   loss: 1.27189   time: 7.85644
epoch: 0[391, 0.00100]   CE: 1.29219   nll: 0.70569   negmargin: -0.37628   loss: 1.29219   time: 8.04728
epoch: 0[401, 0.00100]   CE: 1.32969   nll: 0.69011   negmargin: -0.34774   loss: 1.32969   time: 8.24052
epoch: 0[411, 0.00100]   CE: 1.27345   nll: 0.70434   negmargin: -0.33477   loss: 1.27345   time: 8.43557
epoch: 0[421, 0.00100]   CE: 1.31832   nll: 0.73071   negmargin: -0.31557   loss: 1.31832   time: 8.62509
epoch: 0[431, 0.00100]   CE: 1.32335   nll: 0.71263   negmargin: -0.27751   loss: 1.32335   time: 8.82721
epoch: 0[441, 0.00100]   CE: 1.14810   nll: 0.68161   negmargin: -0.52238   loss: 1.14810   time: 9.02365
epoch: 0[451, 0.00100]   CE: 1.22855   nll: 0.68182   negmargin: -0.40479   loss: 1.22855   time: 9.21390
epoch: 0[461, 0.00100]   CE: 1.18019   nll: 0.67357   negmargin: -0.46630   loss: 1.18019   time: 9.40999
epoch: 0[471, 0.00100]   CE: 1.18111   nll: 0.69117   negmargin: -0.43495   loss: 1.18111   time: 9.60099
epoch: 0[481, 0.00100]   CE: 1.23749   nll: 0.69815   negmargin: -0.36639   loss: 1.23749   time: 9.79465
epoch: 0[491, 0.00100]   CE: 1.23991   nll: 0.67881   negmargin: -0.37416   loss: 1.23991   time: 9.98973
epoch: 0[501, 0.00100]   CE: 1.17541   nll: 0.69450   negmargin: -0.40657   loss: 1.17541   time: 10.18194
epoch: 0[511, 0.00100]   CE: 1.15587   nll: 0.72122   negmargin: -0.46598   loss: 1.15587   time: 10.37463
epoch: 0[521, 0.00100]   CE: 1.09758   nll: 0.70397   negmargin: -0.49843   loss: 1.09758   time: 10.57010
epoch: 0[531, 0.00100]   CE: 1.12528   nll: 0.69299   negmargin: -0.46570   loss: 1.12528   time: 10.76206

epoch 0
   ###
   ### accuracy on train set = 76.1537037037037   CE = 1.1056696873417606   LL: -1074.20382421875   negmargin: 0.4412268665455006
   ###
   ### accuracy on test set = 75.45   CE = 1.1191586395263673   LL: -1073.99248984375   negmargin: 0.4209967529296875
   ###
   ### accuracy on valid set = 76.33333333333333   CE = 1.1012830607096353   LL: -1072.4080533854167   margin: 0.4489877217610677
   ###

Better validation accuracy -> save model

Better validation loss -> save model

epoch: 1[1, 0.00100]   CE: 1.09849   nll: 0.67574   negmargin: -0.48075   loss: 1.09849   time: 0.03855
epoch: 1[11, 0.00100]   CE: 1.26351   nll: 0.70183   negmargin: -0.23104   loss: 1.26351   time: 0.22979
epoch: 1[21, 0.00100]   CE: 1.13410   nll: 0.73195   negmargin: -0.44241   loss: 1.13410   time: 0.42037
epoch: 1[31, 0.00100]   CE: 1.14432   nll: 0.68737   negmargin: -0.40629   loss: 1.14432   time: 0.61036
epoch: 1[41, 0.00100]   CE: 1.07499   nll: 0.68995   negmargin: -0.49545   loss: 1.07499   time: 0.79909
epoch: 1[51, 0.00100]   CE: 1.00162   nll: 0.68015   negmargin: -0.55531   loss: 1.00162   time: 0.98617
epoch: 1[61, 0.00100]   CE: 1.06151   nll: 0.67920   negmargin: -0.46077   loss: 1.06151   time: 1.18163
epoch: 1[71, 0.00100]   CE: 0.98411   nll: 0.71970   negmargin: -0.59515   loss: 0.98411   time: 1.36939
epoch: 1[81, 0.00100]   CE: 1.04198   nll: 0.67706   negmargin: -0.49156   loss: 1.04198   time: 1.56228WARNING:tensorflow:From /home/spawar/anaconda3/lib/python3.8/site-packages/tensorflow/python/training/saver.py:969: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.

epoch: 1[91, 0.00100]   CE: 1.17520   nll: 0.67586   negmargin: -0.29255   loss: 1.17520   time: 1.75619
epoch: 1[101, 0.00100]   CE: 1.03790   nll: 0.67723   negmargin: -0.49626   loss: 1.03790   time: 1.95105
epoch: 1[111, 0.00100]   CE: 1.02646   nll: 0.67763   negmargin: -0.48580   loss: 1.02646   time: 2.14127
epoch: 1[121, 0.00100]   CE: 1.10159   nll: 0.68580   negmargin: -0.36786   loss: 1.10159   time: 2.33183
epoch: 1[131, 0.00100]   CE: 1.06837   nll: 0.69471   negmargin: -0.39377   loss: 1.06837   time: 2.52281
epoch: 1[141, 0.00100]   CE: 0.97090   nll: 0.69707   negmargin: -0.55977   loss: 0.97090   time: 2.71337
epoch: 1[151, 0.00100]   CE: 1.03265   nll: 0.69017   negmargin: -0.43694   loss: 1.03265   time: 2.90532
epoch: 1[161, 0.00100]   CE: 1.02520   nll: 0.73864   negmargin: -0.44585   loss: 1.02520   time: 3.09530
epoch: 1[171, 0.00100]   CE: 1.12721   nll: 0.69033   negmargin: -0.27519   loss: 1.12721   time: 3.28364
epoch: 1[181, 0.00100]   CE: 1.00728   nll: 0.65739   negmargin: -0.45446   loss: 1.00728   time: 3.47285
epoch: 1[191, 0.00100]   CE: 1.01908   nll: 0.67797   negmargin: -0.44800   loss: 1.01908   time: 3.66266
epoch: 1[201, 0.00100]   CE: 1.11456   nll: 0.68510   negmargin: -0.30072   loss: 1.11456   time: 3.85359
epoch: 1[211, 0.00100]   CE: 0.96821   nll: 0.66498   negmargin: -0.47521   loss: 0.96821   time: 4.04296
epoch: 1[221, 0.00100]   CE: 1.01475   nll: 0.68751   negmargin: -0.42556   loss: 1.01475   time: 4.23262
epoch: 1[231, 0.00100]   CE: 0.88003   nll: 0.68842   negmargin: -0.60363   loss: 0.88003   time: 4.42406
epoch: 1[241, 0.00100]   CE: 0.88714   nll: 0.68084   negmargin: -0.60140   loss: 0.88714   time: 4.61624
